Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
AB10,,,,,,,,,,,,,,,,,,,,,,,,
AB11,,,,,,,,,,,,,,,,,,,,,,,,
AB12,,,,,,,,,,,,,,,,,,,,,,,,
AB13,,,,,,,,,,,,,,,,,,,,,,,,
AB14,,,,,,,,,,,,,,,,,,,,,,,,
AB15,,,,,,,,,,,,,,,,,,,,,,,,
AB16,,,,,,,,,,,,,,,,,,,,,,,,
AB21,,,,,,,,,,,,,,,,,,,,,,,,
AB22,,,,,,,,,,,,,,,,,,,,,,,,
AB23,,,,,,,,,,,,,,,,,,,,,,,,
AB24,,,,,,,,,,,,,,,,,,,,,,,,
AB25,,,,,,,,,,,,,,,,,,,,,,,,
AB30,,,,,,,,,,,,,,,,,,,,,,,,
AB31,,,,,,,,,,,,,,,,,,,,,,,,
AB32,,,,,,,,,,,,,,,,,,,,,,,,
AB33,,,,,,,,,,,,,,,,,,,,,,,,
AB34,,,,,,,,,,,,,,,,,,,,,,,,
AB35,,,,,,,,,,,,,,,,,,,,,,,,
AB36,,,,,,,,,,,,,,,,,,,,,,,,
AB37,,,,,,,,,,,,,,,,,,,,,,,,
AB38,,,,,,,,,,,,,,,,,,,,,,,,
AB39,,,,,,,,,,,,,,,,,,,,,,,,
AB41,,,,,,,,,,,,,,,,,,,,,,,,
AB42,,,,,,,,,,,,,,,,,,,,,,,,
AB43,,,,,,,,,,,,,,,,,,,,,,,,
AB44,,,,,,,,,,,,,,,,,,,,,,,,
AB45,,,,,,,,,,,,,,,,,,,,,,,,
AB51,,,,,,,,,,,,,,,,,,,,,,,,
AB52,,,,,,,,,,,,,,,,,,,,,,,,
AB53,,,,,,,,,,,,,,,,,,,,,,,,
AB54,,,,,,,,,,,,,,,,,,,,,,,,
AB55,,,,,,,,,,,,,,,,,,,,,,,,
AB56,,,,,,,,,,,,,,,,,,,,,,,,
AB99,,,,,,,,,,,,,,,,,,,,,,,,
AL1,23040.9,7.5,21115.0,7.1,0.0877,22719.8,7.5,0.0724,31172.3,10.0,23190.6,7.5,16444.5,5.8,23066.5,7.4,7873.7,2.9,24692.7,8.1,0.0758,15521.1,5.1,0.17070000000000002
AL10,19967.3,6.5,19528.2,6.3,0.1062,21525.1,7.1,0.08020000000000001,19454.6,6.4,19675.8,6.7,15595.4,5.4,10684.2,3.6,21763.9,7.3,17141.9,5.7,0.15830000000000002,17513.1,5.9,0.1647
AL2,24873.3,8.1,22275.4,7.3,0.0828,21912.2,7.3,0.076,22487.0,7.2,26201.4,8.5,26224.2,8.5,17042.4,5.7,23049.2,7.6,20890.9,6.7,0.11379999999999998,23740.8,7.8,0.0995
AL3,27634.8,8.8,23776.4,7.8,0.0733,25687.7,8.1,0.0583,26219.8,8.3,28255.0,9.1,25153.4,8.0,21542.4,7.1,23088.9,7.4,24192.0,7.6,0.08449999999999999,22715.7,7.4,0.1068
AL4,27990.5,8.9,28639.5,9.1,0.0446,27426.9,8.7,0.0508,30610.7,9.6,30594.9,9.5,27470.3,8.9,11297.4,3.9,24256.9,7.7,28628.9,9.2,0.0463,28704.1,9.1,0.0633
AL5,31531.875,10.0,29905.75,9.375,0.03275,31558.625,10.0,0.029124999999999998,31890.875,10.0,32278.875,10.0,26702.375,8.5,18026.5,6.0,24757.0,7.875,29139.75,9.125,0.03975000000000001,29815.125,9.25,0.044750000000000005
AL6,28906.88888888889,9.333333333333334,26565.666666666668,8.444444444444445,0.05433333333333334,27607.777777777777,8.88888888888889,0.048,28688.444444444445,9.11111111111111,28274.555555555555,9.222222222222221,24246.88888888889,7.777777777777778,15600.111111111111,5.333333333333333,24795.333333333332,7.888888888888889,26055.222222222223,8.333333333333334,0.06477777777777778,27682.666666666668,8.777777777777779,0.06788888888888889
AL7,21279.6,7.1,18810.9,6.3,0.10510000000000001,18385.8,6.2,0.09240000000000001,18957.0,6.3,18816.0,6.2,23943.1,7.7,13462.9,4.7,28413.9,9.2,19433.4,6.4,0.12300000000000003,20077.2,6.4,0.12940000000000002
AL8,25944.1,8.2,21677.7,7.1,0.0829,22846.6,7.5,0.0675,25334.9,7.9,24487.1,7.8,24487.3,7.9,21172.2,7.0,26401.0,8.4,21756.1,7.3,0.1032,22417.7,7.3,0.1058
